slug,close_ts,close_dt,side,tau_signal,signal_ts,fair,ask_signal,edge_signal,s_t,s_open,sigma_1s,z,fill_ts_us,ask_fill,ask_size_fill,outcome,shares,cost,fees,avg_price,won,payout,pnl,result_id,binance_1h_open,binance_1h_close,binance_says_up,fill_model,outcome_tob,shares_tob,cost_tob,pnl_tob
bitcoin-up-or-down-july-17-2026-5pm-et,1784325600,2026-07-17T22:00:00+00:00,down,3,1784325597,0.946214,0.87,0.068297,64110.0,64120.01,5.601493696536514e-05,-1.6092,1784325598500000,0.87,13.73,filled,13.73,11.9451,0.1087,0.87,True,13.73,1.6762,1,64120.01,64110.0,False,book_snapshot_5_ladder,filled,13.73,11.9451,1.6762
bitcoin-up-or-down-july-17-2026-10pm-et,1784343600,2026-07-18T03:00:00+00:00,up,6,1784343594,0.98,0.89,0.083147,63960.02,63952.97,8e-06,5.6252,1784343595500000,0.89,5.0,filled,27.3913,25.0,0.1525,0.912698,True,27.3913,2.2388,0,63952.97,63967.61,True,book_snapshot_5_ladder,filled,5.0,4.45,0.5157
bitcoin-up-or-down-july-18-2026-1am-et,1784354400,2026-07-18T06:00:00+00:00,down,6,1784354394,0.98,0.37,0.593683,63958.75,63968.0,1.349082938858326e-05,-4.3762,1784354395500000,0.37,51.81,filled,67.1529,25.0,1.0984,0.372285,True,67.1529,41.0545,1,63968.0,63967.95,False,book_snapshot_5_ladder,filled,51.81,19.1697,31.7949
bitcoin-up-or-down-july-18-2026-4am-et,1784365200,2026-07-18T09:00:00+00:00,up,6,1784365194,0.771559,0.53,0.224122,64006.01,64002.75,2.7948836555126817e-05,0.744,1784365195500000,0.59,5.0,filled,10.0,6.0,0.1679,0.6,True,10.0,3.8321,0,64002.75,64006.01,True,book_snapshot_5_ladder,filled,5.0,2.95,1.9653
bitcoin-up-or-down-july-18-2026-11am-et,1784390400,2026-07-18T16:00:00+00:00,down,2,1784390398,0.98,0.89,0.083147,64123.12,64126.0,8e-06,-3.9697,1784390399500000,0.97,164.45,book_moved_no_edge,0.0,0.0,0.0,,True,0.0,0.0,1,64126.0,64123.12,False,book_snapshot_5_ladder,book_moved_no_edge,0.0,0.0,0.0
bitcoin-up-or-down-july-19-2026-3am-et,1784448000,2026-07-19T08:00:00+00:00,down,1,1784447999,0.582831,0.49,0.075338,64711.04,64711.69,4.802810452457972e-05,-0.2091,1784448000500000,,,empty_book,0.0,0.0,0.0,,True,0.0,0.0,1,64711.69,64711.05,False,book_snapshot_5_ladder,empty_book,0.0,0.0,0.0
bitcoin-up-or-down-july-19-2026-4am-et,1784451600,2026-07-19T09:00:00+00:00,down,6,1784451594,0.9767,0.92,0.051548,64707.49,64711.04,1.125511640836829e-05,-1.9899,1784451595500000,0.95,36.79,book_moved_no_edge,0.0,0.0,0.0,,True,0.0,0.0,1,64711.04,64707.49,False,book_snapshot_5_ladder,book_moved_no_edge,0.0,0.0,0.0
bitcoin-up-or-down-july-19-2026-11pm-et,1784520000,2026-07-20T04:00:00+00:00,down,6,1784519994,0.98,0.77,0.197603,64820.01,64827.19,1.8068944435616e-05,-2.5026,1784519995500000,0.13,896.41,book_moved_no_edge,0.0,0.0,0.0,,False,0.0,0.0,0,64827.19,64869.8,True,book_snapshot_5_ladder,book_moved_no_edge,0.0,0.0,0.0
bitcoin-up-or-down-july-22-2026-4pm-et,1784754000,2026-07-22T21:00:00+00:00,down,6,1784753994,0.865221,0.78,0.073209,65919.67,65923.19,1.9744196047932628e-05,-1.1041,1784753995500000,0.85,5.0,book_moved_no_edge,0.0,0.0,0.0,,True,0.0,0.0,1,65923.19,65919.68,False,book_snapshot_5_ladder,book_moved_no_edge,0.0,0.0,0.0
bitcoin-up-or-down-july-23-2026-5am-et,1784800800,2026-07-23T10:00:00+00:00,up,5,1784800795,0.927351,0.85,0.068426,65638.92,65632.99,2.7743663396235862e-05,1.4563,1784800796500000,0.85,6.46,filled,6.46,5.491,0.0577,0.85,True,6.46,0.9113,0,65632.99,65638.92,True,book_snapshot_5_ladder,filled,6.46,5.491,0.9113
bitcoin-up-or-down-july-23-2026-5pm-et,1784844000,2026-07-23T22:00:00+00:00,up,6,1784843994,0.98,0.53,0.432563,65169.82,65147.5,2.6267107506246463e-05,5.324,1784843995500000,0.53,1.6,filled,6.6,3.598,0.1145,0.545152,True,6.6,2.8875,0,65147.5,65169.81,True,book_snapshot_5_ladder,filled,1.6,0.848,0.7241
bitcoin-up-or-down-july-24-2026-1am-et,1784872800,2026-07-24T06:00:00+00:00,up,6,1784872794,0.892886,0.62,0.256394,65325.0,65318.01,3.5173568426679366e-05,1.242,1784872795500000,0.35,5.0,filled,10.0,3.6,0.1612,0.36,True,10.0,6.2388,0,65318.01,65325.0,True,book_snapshot_5_ladder,filled,5.0,1.75,3.1704
bitcoin-up-or-down-july-25-2026-5pm-et,1785016800,2026-07-25T22:00:00+00:00,up,6,1785016794,0.98,0.92,0.054848,64344.01,64339.75,8e-06,3.3787,1785016795500000,0.92,3.32,filled,3.32,3.0544,0.0171,0.92,True,3.32,0.2485,0,64339.75,64344.02,True,book_snapshot_5_ladder,filled,3.32,3.0544,0.2485
