wts,tau,signal,side,fair,ask,ask_size,edge,outcome,ask_fill,shares,cost,fees,won,pnl
1777593600,1,False,,,,,,,,,,,,
1777593600,2,False,,,,,,,,,,,,
1777593600,3,False,,,,,,,,,,,,
1777593600,4,False,,,,,,,,,,,,
1777593600,5,False,,,,,,,,,,,,
1777593600,6,False,,,,,,,,,,,,
1777593600,7,False,,,,,,,,,,,,
1777593600,8,False,,,,,,,,,,,,
1777593600,9,False,,,,,,,,,,,,
1777593600,10,False,,,,,,,,,,,,
1777597200,1,False,,,,,,,,,,,,
1777597200,2,False,,,,,,,,,,,,
1777597200,3,False,,,,,,,,,,,,
1777597200,4,False,,,,,,,,,,,,
1777597200,5,False,,,,,,,,,,,,
1777597200,6,False,,,,,,,,,,,,
1777597200,7,False,,,,,,,,,,,,
1777597200,8,False,,,,,,,,,,,,
1777597200,9,False,,,,,,,,,,,,
1777597200,10,False,,,,,,,,,,,,
1777600800,1,False,,,,,,,,,,,,
1777600800,2,False,,,,,,,,,,,,
1777600800,3,False,,,,,,,,,,,,
1777600800,4,False,,,,,,,,,,,,
1777600800,5,False,,,,,,,,,,,,
1777600800,6,False,,,,,,,,,,,,
1777600800,7,False,,,,,,,,,,,,
1777600800,8,False,,,,,,,,,,,,
1777600800,9,False,,,,,,,,,,,,
1777600800,10,False,,,,,,,,,,,,
1777604400,1,False,,,,,,,,,,,,
1777604400,2,False,,,,,,,,,,,,
1777604400,3,False,,,,,,,,,,,,
1777604400,4,False,,,,,,,,,,,,
1777604400,5,False,,,,,,,,,,,,
1777604400,6,False,,,,,,,,,,,,
1777604400,7,False,,,,,,,,,,,,
1777604400,8,False,,,,,,,,,,,,
1777604400,9,False,,,,,,,,,,,,
1777604400,10,False,,,,,,,,,,,,
1777608000,1,False,,,,,,,,,,,,
1777608000,2,False,,,,,,,,,,,,
1777608000,3,False,,,,,,,,,,,,
1777608000,4,False,,,,,,,,,,,,
1777608000,5,False,,,,,,,,,,,,
1777608000,6,False,,,,,,,,,,,,
1777608000,7,False,,,,,,,,,,,,
1777608000,8,False,,,,,,,,,,,,
1777608000,9,False,,,,,,,,,,,,
1777608000,10,False,,,,,,,,,,,,
1777611600,1,False,,,,,,,,,,,,
1777611600,2,False,,,,,,,,,,,,
1777611600,3,False,,,,,,,,,,,,
1777611600,4,False,,,,,,,,,,,,
1777611600,5,False,,,,,,,,,,,,
1777611600,6,False,,,,,,,,,,,,
1777611600,7,False,,,,,,,,,,,,
1777611600,8,False,,,,,,,,,,,,
1777611600,9,False,,,,,,,,,,,,
1777611600,10,False,,,,,,,,,,,,
1777615200,1,False,,,,,,,,,,,,
1777615200,2,False,,,,,,,,,,,,
1777615200,3,False,,,,,,,,,,,,
1777615200,4,False,,,,,,,,,,,,
1777615200,5,False,,,,,,,,,,,,
1777615200,6,False,,,,,,,,,,,,
1777615200,7,False,,,,,,,,,,,,
1777615200,8,False,,,,,,,,,,,,
1777615200,9,False,,,,,,,,,,,,
1777615200,10,False,,,,,,,,,,,,
1777618800,1,False,,,,,,,,,,,,
