date,wts,t_rel,side,px,shares,fair,pnl_share
2025-10-11,1760182200,-6,down,0.7,14.285714,1.0,0.28530002
2025-10-12,1760233500,-6,down,0.89,11.235955,0.9552477486851623,0.103147015
2025-10-13,1760390100,-6,up,0.75,11.0,0.9138046597063438,0.236875
2025-10-14,1760420700,-3,up,0.5,20.0,0.9858120715931896,-0.5175
2025-10-14,1760425200,-6,up,0.66,15.151515,0.746357622369376,-0.67570806
2025-10-14,1760433300,-6,up,0.64,15.625,0.7922391440917277,-0.656128
2025-10-14,1760437800,-6,up,0.47,20.0,0.5533505245756012,-0.487437
2025-10-14,1760442300,-6,down,0.56,5.0,0.7468562878549571,0.422752
2025-10-14,1760444100,-6,up,0.38,25.0,0.8696630411564779,-0.396492
2025-10-14,1760462100,-4,up,0.68,14.705882,0.9723673594682801,0.304768
2025-10-14,1760467500,-3,up,0.66,15.151515,0.8551056646244309,0.32429197
2025-10-15,1760499900,-5,down,0.68,14.705882,0.8363993333403591,-0.69523203
2025-10-15,1760500800,-5,down,0.75,13.333333,0.9074768237685481,0.236875
2025-10-15,1760518800,-6,up,0.78,12.820514,0.9554696045980174,0.20798802
2025-10-15,1760526000,-6,up,0.87,11.494253,0.9718137390270845,0.12208299
2025-10-16,1760594400,-6,up,0.76,13.157895,0.8358706075238377,-0.772768
2025-10-16,1760618700,-4,down,0.51,19.0,0.5966177618470428,-0.527493
2025-10-16,1760649300,-6,down,0.85,1.84,0.9923579624231951,0.14107499
2025-10-17,1760730300,-4,down,0.32999998,18.48,0.8376041668346932,0.654523
2025-10-17,1760733900,-4,up,0.93,10.752688,0.999997586805785,0.065442994
2025-10-19,1760877000,-6,up,0.64,15.625,0.9108269476844622,0.343872
2025-10-19,1760890500,-6,up,0.71,14.084508,0.8995141974130334,0.27558702
2025-10-20,1760956200,-6,down,0.5,20.0,1.0,0.4825
2025-10-20,1760989500,-6,down,0.78,12.820514,0.8905021098464518,0.20798802
2025-10-20,1760993100,-6,down,0.86,11.627907,0.9999837001698018,-0.868428
2025-10-20,1760998500,-3,up,0.88,5.0,0.9513031647084818,0.112608
2025-10-21,1761038100,-6,up,0.89,11.0,0.9794227116803863,-0.89685297
2025-10-22,1761127200,-6,down,0.73,5.0,0.8034225720351864,0.256203
2025-10-22,1761152400,-6,down,0.90999997,4.56,0.9997682157226591,0.084267035
2025-10-23,1761216300,-6,down,0.92,10.869565,0.9976197976063271,0.07484798
2025-10-23,1761263100,-6,up,0.85,0.78,0.9355031674089599,0.14107499
2025-10-24,1761295500,-4,down,0.37,13.47,0.4886656475738034,0.613683
2025-10-25,1761359400,-6,down,0.86,11.627907,1.0,0.131572
2025-10-25,1761374700,-6,down,0.37,27.027027,1.0,-0.386317
2025-10-27,1761549300,-6,down,0.78,12.820514,0.9008725994111008,0.20798802
2025-10-27,1761570900,-4,down,0.32999998,30.303032,0.404989641324597,-0.34547698
2025-10-27,1761579900,-4,down,0.39999998,25.000002,0.9959588514318155,0.58320004
2025-10-28,1761624000,-6,up,0.77,0.7,0.9982147413262082,0.21760301
2025-10-28,1761669000,-6,down,0.69,6.0,0.7619132211288062,-0.704973
2025-10-29,1761719400,-6,down,0.85,7.0,0.995018043480416,0.14107499
2025-10-29,1761730200,-6,down,0.53,1.84,0.7978022280607757,-0.54743695
2025-10-29,1761741900,-6,down,0.79,12.658228,0.999262721415389,0.19838698
2025-10-29,1761757200,-6,up,0.45,22.222223,0.7390640978894785,0.532675
2025-10-30,1761792300,-6,up,0.64,5.0,0.9291666420039759,0.343872
2025-10-30,1761794100,-6,down,0.89,8.0,0.9989480161117389,-0.89685297
2025-10-30,1761804900,-2,up,0.42,23.809525,0.541320602424399,-0.43705198
2025-10-30,1761815700,-6,up,0.58,17.24138,0.8578169105799625,-0.597052
2025-10-30,1761823800,-6,up,0.92,10.869565,0.9997163063294185,0.07484798
2025-10-31,1761891300,-6,up,0.57,16.0,0.9951574801140812,0.41284302
2025-10-31,1761899400,-6,down,0.87,5.0,0.993055559180831,0.12208299
2025-10-31,1761912900,-6,down,0.36,27.777777,0.4816954078856662,-0.37612802
2025-10-31,1761924600,-3,up,0.32,31.25,0.42983297217086713,-0.335232
2025-10-31,1761946200,-6,up,0.88,11.363636,0.9690776191379523,0.112608
2025-11-02,1762074900,-6,down,0.72,13.888888,0.9520524813646972,-0.734112
2025-11-03,1762146900,-6,up,0.84,8.0,0.9983004834811348,-0.849408
2025-11-03,1762148700,-2,up,0.82,5.0,0.8837199926183286,0.169668
2025-11-03,1762155900,-3,up,0.53,8.0,0.6969235948680264,-0.54743695
2025-11-03,1762158600,-5,up,0.57,8.0,0.7154676140576824,-0.587157
2025-11-03,1762200900,-6,up,0.92,10.869565,0.9799659674264021,0.07484798
2025-11-04,1762248600,-3,down,0.59000003,16.0,0.989600966863513,-0.60693306
2025-11-04,1762256700,-6,up,0.32,16.0,0.9251573673387158,-0.335232
2025-11-04,1762264800,-3,up,0.89,8.0,0.9958317073213879,-0.89685297
2025-11-04,1762282800,-6,up,0.89,10.0,0.9712786224199835,0.103147015
2025-11-04,1762287300,-5,up,0.72,13.888888,0.8030798160695192,0.26588798
2025-11-04,1762298100,-6,down,0.94,10.638298,0.999805793611274,0.056052003
2025-11-05,1762310700,-6,down,0.81,12.345679,0.9868380736752983,0.179227
2025-11-05,1762324200,-5,down,0.94,10.0,0.998099599776194,0.056052003
2025-11-05,1762375500,-6,up,0.33,5.0,0.4100047686142091,-0.345477
2025-11-06,1762400700,-5,down,0.90999997,10.989012,0.9840862095514243,0.084267035
2025-11-06,1762406100,-6,up,0.64,15.625,0.9321422512292034,-0.656128
2025-11-06,1762470000,-6,up,0.52,5.0,0.983085638806948,-0.537472
2025-11-07,1762541100,-5,down,0.71000004,5.0,0.7914961665497289,0.27558696
2025-11-08,1762628400,-6,down,0.9,11.111112,0.9972819698774785,0.09370002
2025-11-09,1762684200,-6,up,0.7,2.14,0.9985045059303337,0.28530002
2025-11-10,1762759800,-6,down,0.51,19.607843,0.998511003003471,-0.527493
2025-11-10,1762765200,-6,down,0.93,4.62,0.9997148371525696,0.065442994
2025-11-10,1762778700,-6,up,0.73,5.0,0.922696360314039,0.256203
2025-11-10,1762803900,-6,down,0.53999996,18.51852,0.6505336336938647,-0.55738795
2025-11-11,1762859700,-6,down,0.9,11.111112,0.9865054594836339,0.09370002
2025-11-11,1762867800,-5,up,0.45,5.0,0.5890382440609319,0.532675
2025-11-13,1763020800,-5,down,0.9,11.111112,0.9599638243989816,0.09370002
2025-11-13,1763028000,-5,down,0.94,10.638298,0.9999962987075672,0.056052003
2025-11-13,1763030700,-6,up,0.88,11.363636,0.9413081703828219,0.112608
2025-11-13,1763040600,-6,up,0.32,8.0,0.7527338497869396,-0.335232
2025-11-14,1763118000,-6,up,0.77,12.987013,0.9772651505116954,0.21760301
2025-11-14,1763135100,-6,up,0.64,15.0,0.9800022374161524,0.343872
2025-11-14,1763139600,-3,down,0.92,10.869565,0.9936542000448326,0.07484798
2025-11-15,1763175600,-5,up,0.84,2.35,0.9995425683960973,0.15059203
2025-11-15,1763205300,-6,down,0.65999997,12.0,0.9956162828065264,0.32429203
2025-11-16,1763253900,-6,down,0.74,8.35,0.9998018886785001,0.246532
2025-11-16,1763296200,-6,down,0.31,32.258064,0.4463912038926291,-0.32497302
2025-11-16,1763298000,-6,up,0.91,10.989011,0.9960934522357368,0.084266976
2025-11-17,1763337600,-5,up,0.34,29.411764,0.6171280895911672,-0.355708
2025-11-17,1763347500,-5,up,0.72,5.0,0.8670919680991611,0.26588798
2025-11-17,1763358300,-5,up,0.32,31.25,0.5571584881758678,-0.335232
2025-11-18,1763424000,-6,down,0.41000003,8.0,0.8170908027128676,-0.42693302
2025-11-18,1763507700,-5,down,0.39,5.0,0.9999997460313552,-0.406653
2025-11-19,1763519400,-6,up,0.65,15.384616,0.990766300257458,0.33407503
2025-11-19,1763524800,-6,down,0.59000003,10.0,0.999999999999798,0.39306697
2025-11-19,1763546400,-2,up,0.86,5.0,0.9449684523671287,0.131572
2025-11-19,1763548200,-6,down,0.64,3.0,0.7835385726808421,0.343872
2025-11-19,1763551800,-6,up,0.78,2.43,0.9998340010730788,0.20798802
2025-11-19,1763584200,-6,down,0.51,19.607843,1.0,0.472507
2025-11-20,1763597700,-6,up,0.51,19.607843,1.0,0.472507
2025-11-20,1763601300,-6,up,0.73,13.698629,0.7947154300188652,0.256203
2025-11-20,1763612100,-6,down,0.89,11.235955,1.0,0.103147015
2025-11-20,1763634600,-6,down,0.88,11.363636,1.0,0.112608
2025-11-20,1763655300,-6,down,0.35000002,28.571426,0.690226678785495,-0.365925
2025-11-21,1763684100,-6,up,0.67,14.925373,0.8442892208357087,0.31452298
2025-11-21,1763698500,-6,up,0.51,19.607843,1.0,0.472507
2025-11-21,1763702100,-6,up,0.63,15.873016,0.9997227053101911,-0.646317
2025-11-21,1763711100,-6,down,0.77,12.987013,0.9999999999955574,0.21760301
2025-11-21,1763734500,-6,down,0.59000003,16.949152,0.999999999998646,0.39306697
2025-11-21,1763736300,-6,down,0.56,5.73,0.7856805913417573,0.422752
2025-11-21,1763740800,-4,down,0.6,16.666666,0.7752081956285588,-0.6168
2025-11-21,1763745300,-6,up,0.48,20.833334,0.9885253318989898,0.50252795
2025-11-21,1763746200,-6,down,0.8,12.5,0.9907786625038756,0.18879999
2025-11-21,1763751600,-6,up,0.37,5.0,0.46169398234563896,-0.386317
2025-11-21,1763755200,-5,up,0.59,16.0,0.88936907902941,0.39306703
2025-11-21,1763766900,-6,up,0.51,19.607843,1.0,0.472507
2025-11-22,1763773200,-2,down,0.36,27.777777,0.5176213025348847,-0.37612802
2025-11-22,1763793900,-4,down,0.43,17.0,0.5173337351319649,-0.447157
2025-11-22,1763797500,-6,up,0.53,7.26,0.8125553609626506,-0.54743695
2025-11-22,1763812800,-6,down,0.55,18.181818,1.0,0.432675
2025-11-22,1763818200,-6,up,0.91,10.989011,0.990650694227281,0.084266976
2025-11-22,1763833500,-4,up,0.55,10.0,0.8026014745867112,0.432675
2025-11-22,1763842500,-6,up,0.45,12.0,0.6999557746087581,-0.467325
2025-11-23,1763873100,-4,down,0.9,11.111112,0.9579305440646366,0.09370002
2025-11-23,1763885700,-3,up,0.33,30.30303,0.5310791151615967,-0.345477
2025-11-24,1763955900,-6,up,0.49,20.408163,0.5605056819807936,-0.507493
2025-11-24,1763968500,-6,up,0.91,10.989011,0.9912626398664235,0.084266976
2025-11-24,1764020700,-6,up,0.31,30.5,0.460199649387208,-0.32497302
2025-11-24,1764026100,-6,up,0.41,24.390244,1.0,0.573067
2025-11-25,1764055800,-6,up,0.41,24.390244,0.6864652410376686,-0.426933
