date,wts,t_rel,side,px,shares,fair,pnl_share
2025-10-11,1760223600,-6,down,0.90999997,10.989012,1.0,0.084267035
2025-10-13,1760389200,-6,down,0.94,10.638298,0.9999913093548302,0.056052003
2025-10-16,1760590800,-6,down,0.88,5.0,0.9788762001040084,0.112608
2025-10-21,1761069600,-6,up,0.81,6.0,0.930802803220624,0.179227
2025-10-22,1761148800,-6,down,0.32999998,30.303032,1.0,0.654523
2025-10-22,1761170400,-6,down,0.77,4.6,0.9732385130072962,0.21760301
2025-10-24,1761332400,-4,down,0.47000003,10.0,0.673877450475789,0.512563
2025-10-25,1761361200,-6,up,0.65,5.0,0.9999999999999999,0.33407503
2025-10-26,1761505200,-2,up,0.87,11.494253,0.9999999759253203,0.12208299
2025-10-30,1761861600,-6,down,0.65,6.0,0.7430154265266029,-0.66592497
2025-11-01,1761958800,-6,up,0.8,10.0,0.9964914168056745,0.18879999
2025-11-02,1762045200,-6,up,0.77,11.9,0.9995249575860136,0.21760301
2025-11-04,1762250400,-2,down,0.87,11.494253,0.9998479819811177,0.12208299
2025-11-13,1763006400,-6,up,0.61,8.0,0.8171487431977543,-0.626653
2025-11-15,1763218800,-6,down,0.53999996,18.51852,0.6121647457105976,-0.55738795
2025-11-16,1763265600,-6,down,0.81,12.345679,0.8842547603855535,0.179227
2025-11-16,1763319600,-6,down,0.89,11.235955,0.99999990793486,0.103147015
2025-11-17,1763373600,-6,down,0.88,11.363636,0.9875309139200091,0.112608
2025-11-17,1763413200,-3,up,0.93,6.53,0.9999999999997964,0.065442994
2025-11-26,1764169200,-6,up,0.68,8.0,0.9999387796096644,0.304768
2025-11-26,1764180000,-6,up,0.51,19.607843,1.0,0.472507
2025-11-26,1764183600,-6,down,0.5,20.0,1.0,0.4825
2025-11-26,1764187200,-6,down,0.5,20.0,0.9999978283165708,0.4825
2025-11-26,1764190800,-6,up,0.51,19.607843,1.0,0.472507
2025-11-26,1764194400,-6,up,0.51,19.607843,1.0,0.472507
2025-11-26,1764198000,-6,up,0.51,19.607843,1.0,0.472507
2025-11-27,1764201600,-5,down,0.59000003,8.0,0.7850865865641137,-0.60693306
2025-11-27,1764262800,-6,up,0.91,10.989011,0.9997427061694735,0.084266976
2025-11-27,1764284400,-5,up,0.94,10.0,0.9989659055347028,0.056052003
2025-11-29,1764378000,-5,down,0.72,10.0,0.8527830743879301,0.26588798
2025-11-29,1764410400,-4,up,0.41,7.4,0.6641097729647646,-0.426933
2025-12-03,1764799200,-6,up,0.82,12.195122,0.999999442777899,0.169668
2025-12-05,1764975600,-6,up,0.7,14.285714,1.0,0.28530002
2025-12-09,1765303200,-5,up,0.51,15.0,0.5866081548078819,0.472507
2025-12-10,1765400400,-6,down,0.52,15.0,0.9999999435651671,0.46252802
2025-12-12,1765580400,-6,down,0.56,17.857143,1.0,0.422752
2025-12-13,1765641600,-6,down,0.92,10.869565,1.0,0.07484798
2025-12-13,1765659600,-6,up,0.43,23.255814,1.0,0.552843
2025-12-13,1765666800,-6,up,0.8,12.5,1.0,0.18879999
2025-12-14,1765688400,-6,down,0.68,14.705882,1.0,0.304768
2025-12-15,1765792800,-6,down,0.82,12.195122,0.9400485482146547,0.169668
2025-12-15,1765836000,-2,up,0.88,11.363636,0.9476444202120705,0.112608
2025-12-18,1766098800,-6,down,0.64,15.625,1.0,0.343872
2025-12-19,1766134800,-6,up,0.6,16.666666,0.7068043582278192,0.3832
2025-12-19,1766185200,-6,down,0.83,12.048193,1.0,0.16012302
2025-12-21,1766329200,-5,up,0.82,10.75,0.9808421602200219,0.169668
2025-12-22,1766361600,-6,down,0.43,23.255814,0.7429278786468778,0.552843
2025-12-22,1766365200,-6,up,0.845,11.834319,0.9969489950349192,0.14583172
2025-12-23,1766458800,-5,down,0.64,10.0,0.957271955746434,0.343872
2025-12-25,1766646000,-6,up,0.71,14.084508,0.9375774226290894,0.27558702
2025-12-25,1766696400,-6,up,0.5,20.0,1.0,0.4825
2025-12-27,1766836800,-6,down,0.77,1.01,0.9862152275799493,0.21760301
2025-12-27,1766847600,-5,up,0.81,6.0,0.8814474201086386,0.179227
