date,wts,t_rel,side,px,shares,pnl_share
2026-04-08,1775660400,2,up,0.8399999737739563,86.81999969482422,0.15059202497768406
2026-04-08,1775670000,2,down,0.3100000023841858,373.7900085449219,-0.32497300244760513
2026-04-08,1775682900,2,up,0.6700000166893005,20.0,0.3145229837079048
2026-04-08,1775682900,3,up,0.6700000166893005,20.0,0.3145229837079048
2026-04-08,1775683200,2,up,0.4300000071525574,158.7899932861328,0.5528429927773476
2026-04-08,1775683200,3,up,0.4300000071525574,158.7899932861328,0.5528429927773476
2026-04-08,1775683500,2,up,0.5099999904632568,22.299999237060547,0.47250700952339175
2026-04-08,1775683500,3,up,0.5099999904632568,22.299999237060547,0.47250700952339175
2026-04-08,1775683800,2,down,0.3100000023841858,67.87999725341797,0.6750269975523948
2026-04-08,1775683800,3,down,0.3100000023841858,67.87999725341797,0.6750269975523948
2026-04-08,1775686500,2,down,0.9200000017881393,40.880001068115234,0.07484799831700326
2026-04-08,1775686500,27,down,0.9200000017881393,40.880001068115234,0.07484799831700326
2026-04-09,1775709000,2,up,0.8500000238418579,129.86000061035156,0.14107497732639318
