strategy,n,EV_c,winrate,med_size,tstat
5m late-taker up (bin),644,11.96,0.837,38.0,8.8
5m late-taker down (bin),721,10.94,0.822,32.0,8.3
5m settle+1s buy-winner<98.5c,926,21.450000762939453,1.0,84.0,28.3
5m settle+2s buy-winner<98.5c,183,27.350000381469727,1.0,80.0,15.7
5m settle+5s buy-winner<98.5c,120,32.56999969482422,1.0,83.0,15.4
5m settle+10s buy-winner<98.5c,93,32.7599983215332,1.0,84.0,14.2
5m late-taker up (cl_),96,14.96,0.865,26.0,4.4
5m late-taker down (cl_),127,5.78,0.748,27.0,1.8
5m settle+1s buy-winner<98.5c,926,21.450000762939453,1.0,84.0,28.3
5m settle+2s buy-winner<98.5c,183,27.350000381469727,1.0,80.0,15.7
5m settle+5s buy-winner<98.5c,120,32.56999969482422,1.0,83.0,15.4
5m settle+10s buy-winner<98.5c,93,32.7599983215332,1.0,84.0,14.2
15m late-taker up (bin),521,27.68,0.927,154.0,21.4
15m late-taker down (bin),607,25.09,0.909,72.0,20.2
15m settle+1s buy-winner<98.5c,1179,30.829999923706055,1.0,158.0,47.4
15m settle+2s buy-winner<98.5c,745,38.060001373291016,1.0,275.0,56.8
15m settle+5s buy-winner<98.5c,713,39.099998474121094,1.0,300.0,58.6
15m settle+10s buy-winner<98.5c,710,39.04999923706055,1.0,302.0,58.7
15m settle+1s buy-winner<98.5c,1179,30.829999923706055,1.0,158.0,47.4
15m settle+2s buy-winner<98.5c,745,38.060001373291016,1.0,275.0,56.8
15m settle+5s buy-winner<98.5c,713,39.099998474121094,1.0,300.0,58.6
15m settle+10s buy-winner<98.5c,710,39.04999923706055,1.0,302.0,58.7
4h late-taker up (bin),68,26.05,0.985,38.0,11.1
4h late-taker down (bin),47,27.67,1.0,39.0,10.6
4h settle+1s buy-winner<98.5c,153,25.6200008392334,1.0,47.0,14.2
4h settle+2s buy-winner<98.5c,145,26.15999984741211,1.0,48.0,14.0
4h settle+5s buy-winner<98.5c,145,26.15999984741211,1.0,48.0,14.0
4h settle+10s buy-winner<98.5c,145,26.15999984741211,1.0,48.0,14.0
4h settle+1s buy-winner<98.5c,153,25.6200008392334,1.0,47.0,14.2
4h settle+2s buy-winner<98.5c,145,26.15999984741211,1.0,48.0,14.0
4h settle+5s buy-winner<98.5c,145,26.15999984741211,1.0,48.0,14.0
4h settle+10s buy-winner<98.5c,145,26.15999984741211,1.0,48.0,14.0
1h late-taker up (bin),100,30.12,0.97,97.0,14.5
1h late-taker down (bin),82,28.85,0.976,75.0,13.0
1h settle+1s buy-winner<98.5c,138,33.68000030517578,1.0,144.0,20.6
1h settle+2s buy-winner<98.5c,138,33.68000030517578,1.0,144.0,20.6
1h settle+5s buy-winner<98.5c,138,33.68000030517578,1.0,144.0,20.6
1h settle+10s buy-winner<98.5c,139,33.75,1.0,143.0,20.8
