ts,hypothesis,family,dataset,n,metric,value,edge_cents_per_share_after_fees,verdict,notes
2026-07-15T02:14:38,H17/H20 1h close-snipe taker d@-2s fill@-1s minedge5c,1h,train,182,EV_c_per_share,29.54738,29.547,PROMISING,97% winrate; sizes ok; quotes persist; monthly breakdown in analysis
2026-07-15T02:15:34,5m late-taker up (bin),5m,train,644,EV_c_per_share,11.96,11.96,PROMISING,"winrate=0.837,med_size=38.0,t=8.8"
2026-07-15T02:15:34,5m late-taker down (bin),5m,train,721,EV_c_per_share,10.94,10.94,PROMISING,"winrate=0.822,med_size=32.0,t=8.3"
2026-07-15T02:15:34,5m settle+1s buy-winner<98.5c,5m,train,926,EV_c_per_share,21.45,21.45,PROMISING,"winrate=1.0,med_size=84.0,t=28.3"
2026-07-15T02:15:34,5m settle+2s buy-winner<98.5c,5m,train,183,EV_c_per_share,27.35,27.35,PROMISING,"winrate=1.0,med_size=80.0,t=15.7"
2026-07-15T02:15:34,5m settle+5s buy-winner<98.5c,5m,train,120,EV_c_per_share,32.57,32.57,PROMISING,"winrate=1.0,med_size=83.0,t=15.4"
2026-07-15T02:15:34,5m settle+10s buy-winner<98.5c,5m,train,93,EV_c_per_share,32.76,32.76,PROMISING,"winrate=1.0,med_size=84.0,t=14.2"
2026-07-15T02:15:34,5m late-taker up (cl_),5m,train,96,EV_c_per_share,14.96,14.96,PROMISING,"winrate=0.865,med_size=26.0,t=4.4"
2026-07-15T02:15:34,5m late-taker down (cl_),5m,train,127,EV_c_per_share,5.78,5.78,FAIL,"winrate=0.748,med_size=27.0,t=1.8"
2026-07-15T02:15:34,5m settle+1s buy-winner<98.5c,5m,train,926,EV_c_per_share,21.45,21.45,PROMISING,"winrate=1.0,med_size=84.0,t=28.3"
2026-07-15T02:15:34,5m settle+2s buy-winner<98.5c,5m,train,183,EV_c_per_share,27.35,27.35,PROMISING,"winrate=1.0,med_size=80.0,t=15.7"
2026-07-15T02:15:34,5m settle+5s buy-winner<98.5c,5m,train,120,EV_c_per_share,32.57,32.57,PROMISING,"winrate=1.0,med_size=83.0,t=15.4"
2026-07-15T02:15:34,5m settle+10s buy-winner<98.5c,5m,train,93,EV_c_per_share,32.76,32.76,PROMISING,"winrate=1.0,med_size=84.0,t=14.2"
2026-07-15T02:15:34,15m late-taker up (bin),15m,train,521,EV_c_per_share,27.68,27.68,PROMISING,"winrate=0.927,med_size=154.0,t=21.4"
2026-07-15T02:15:34,15m late-taker down (bin),15m,train,607,EV_c_per_share,25.09,25.09,PROMISING,"winrate=0.909,med_size=72.0,t=20.2"
2026-07-15T02:15:34,15m settle+1s buy-winner<98.5c,15m,train,1179,EV_c_per_share,30.83,30.83,PROMISING,"winrate=1.0,med_size=158.0,t=47.4"
2026-07-15T02:15:34,15m settle+2s buy-winner<98.5c,15m,train,745,EV_c_per_share,38.06,38.06,PROMISING,"winrate=1.0,med_size=275.0,t=56.8"
2026-07-15T02:15:34,15m settle+5s buy-winner<98.5c,15m,train,713,EV_c_per_share,39.1,39.1,PROMISING,"winrate=1.0,med_size=300.0,t=58.6"
2026-07-15T02:15:34,15m settle+10s buy-winner<98.5c,15m,train,710,EV_c_per_share,39.05,39.05,PROMISING,"winrate=1.0,med_size=302.0,t=58.7"
2026-07-15T02:15:34,15m settle+1s buy-winner<98.5c,15m,train,1179,EV_c_per_share,30.83,30.83,PROMISING,"winrate=1.0,med_size=158.0,t=47.4"
2026-07-15T02:15:34,15m settle+2s buy-winner<98.5c,15m,train,745,EV_c_per_share,38.06,38.06,PROMISING,"winrate=1.0,med_size=275.0,t=56.8"
